publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2022p703334,earthquake,2022-09-18T05:36:52.208Z,2022-09-18T05:41:45.245Z,176.0069122,-36.82616043,2.228257641,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,14,9,7,0.243427977,195.3548279,0.3382811131,0
2022p703237,earthquake,2022-09-18T04:44:58.491Z,2022-09-18T04:51:28.659Z,176.610321,-37.27207565,2.023255681,224.3942719,M,,LOCSAT,confirmed,manual,iasp91,14,12,3,1.049930215,280.5590744,0.294611035,0
2022p703172,earthquake,2022-09-18T04:10:09.235Z,2022-09-18T04:24:07.390Z,175.3974609,-39.29164886,1.024069454,17.2759552,M,,LOCSAT,confirmed,manual,iasp91,17,10,3,0.03971462324,98.72581482,0.456074885,0
2022p703076,earthquake,2022-09-18T03:19:20.787Z,2022-09-18T04:17:48.047Z,173.4002533,-40.38632584,3.604012167,166.7616577,MLv,,LOCSAT,confirmed,manual,iasp91,24,16,59,0.5743017197,124.0935383,0.3716113596,0.2520553718
2022p703074,earthquake,2022-09-18T03:18:12.417Z,2022-09-18T09:04:29.183Z,176.1813507,-39.62943649,1.18980067,32.37207794,M,,LOCSAT,confirmed,manual,iasp91,13,10,5,0.1530513912,102.2099304,0.3564403596,0
2022p702841,earthquake,2022-09-18T01:14:25.108Z,2022-09-18T01:19:58.881Z,173.0701599,-41.05714035,2.156175691,100.6180344,MLv,,LOCSAT,confirmed,manual,iasp91,17,9,2,0.2830598354,129.4269104,0.2718774766,0.3547715314
2022p702793,earthquake,2022-09-18T00:48:16.807Z,2022-09-18T01:53:59.948Z,174.499939,-40.03001785,1.975108171,70.58211517,MLv,,LOCSAT,confirmed,manual,iasp91,26,19,4,0.4639201462,91.30482483,0.5678426582,0.2104272561
2022p702756,earthquake,2022-09-18T00:28:53.380Z,2022-09-18T13:01:53.499Z,175.6239777,-39.16884232,0.5748474843,8.594324112,M,,LOCSAT,preliminary,manual,iasp91,8,6,4,0.01896684803,105.4192352,0.2284378031,0
2022p702617,earthquake,2022-09-17T23:14:28.668Z,2022-09-17T23:26:41.648Z,174.083252,-40.47637558,1.897301732,82.00189209,MLv,,LOCSAT,confirmed,manual,iasp91,28,16,5,0.3474911153,103.5855713,0.5666272685,0.1794485
2022p702615,earthquake,2022-09-17T23:13:54.911Z,2022-09-17T23:33:23.826Z,175.7195129,-39.04424286,0.3417460224,4.515245438,MLv,,LOCSAT,confirmed,manual,iasp91,11,8,5,0.06388913095,199.8623505,0.08893248792,0.2098640987
2022p702596,earthquake,2022-09-17T23:03:19.499Z,2022-09-17T23:46:28.618Z,174.34198,-40.01692963,2.027704721,116.3170319,MLv,,LOCSAT,confirmed,manual,iasp91,27,20,3,0.560198307,129.473587,0.5626850098,0.2957340511
2022p702585,earthquake,2022-09-17T22:57:56.600Z,2022-09-17T23:39:16.702Z,175.3271027,-40.07659912,2.631926959,44.24278259,MLv,,LOCSAT,confirmed,manual,iasp91,51,37,41,0.1291810423,53.78547668,0.5521422803,0.1841719337
2022p702565,earthquake,2022-09-17T22:46:46.299Z,2022-09-17T23:30:34.063Z,175.9960785,-40.49560165,1.807364581,19.78080368,MLv,,LOCSAT,confirmed,manual,iasp91,27,17,8,0.06205398962,58.24894714,0.4272054802,0.2247955953
2022p702540,earthquake,2022-09-17T22:33:48.620Z,2022-09-17T22:49:48.847Z,175.9838104,-40.49104691,1.765621527,18.19283485,MLv,,LOCSAT,confirmed,manual,iasp91,29,17,6,0.06433244795,56.93087769,0.6431909046,0.230760005
2022p702538,earthquake,2022-09-17T22:32:17.917Z,2022-09-17T23:01:29.025Z,175.9139404,-38.72069931,2.78020788,107.1014633,MLv,,LOCSAT,confirmed,manual,iasp91,27,21,61,0.1829438508,39.11953735,0.3009557659,0.3376486467
2022p702496,earthquake,2022-09-17T22:10:11.621Z,2022-09-17T23:21:47.169Z,177.8969727,-38.96225357,1.823420464,20.84505463,MLv,,LOCSAT,confirmed,manual,iasp91,20,14,6,0.04101778939,150.6100578,0.4707317254,0.2123753069
2022p702466,earthquake,2022-09-17T21:53:57.192Z,2022-09-17T22:20:23.946Z,172.7256927,-41.23471832,2.620860495,125.8954773,MLv,,LOCSAT,confirmed,manual,iasp91,18,11,1,0.1659219712,108.2230606,0.4524591164,0
2022p702432,earthquake,2022-09-17T21:35:49.879Z,2022-09-17T21:51:18.608Z,172.8690948,-41.31552887,2.399767908,94.65959167,MLv,,LOCSAT,confirmed,manual,iasp91,22,14,3,0.1183101311,90.76782227,0.5622250452,0.3235701295
2022p702420,earthquake,2022-09-17T21:29:48.703Z,2022-09-17T23:19:00.480Z,175.7511139,-39.65231705,1.072091981,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,13,9,4,0.2450653464,162.487442,0.1977441103,0.5087091238
2022p702365,earthquake,2022-09-17T21:00:16.692Z,2022-09-17T21:29:12.919Z,175.8402252,-39.39595413,2.129197594,44.74117661,MLv,,LOCSAT,confirmed,manual,iasp91,32,20,25,0.06873043627,53.91322327,0.5362181344,0.2701904407
2022p702288,earthquake,2022-09-17T20:19:10.450Z,2022-09-17T21:06:46.938Z,176.7205658,-39.28675842,2.462683777,35.7693634,MLv,,LOCSAT,confirmed,manual,iasp91,37,21,37,0.1583778113,59.13967896,0.3382655141,0.1893642804
2022p702269,earthquake,2022-09-17T20:09:10.130Z,2022-09-17T23:29:35.944Z,172.3480377,-42.95352936,2.021508323,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,26,19,5,0.1808608919,52.68032837,0.3189195005,0.2194301965
2022p702258,earthquake,2022-09-17T20:03:07.050Z,2022-09-17T20:40:21.482Z,178.0534515,-35.79093552,3.019363955,240.3624115,MLv,,LOCSAT,confirmed,manual,iasp91,24,17,7,1.77955842,265.8339691,0.4622361682,0.2191998961
2022p702219,earthquake,2022-09-17T19:42:23.785Z,2022-09-17T19:49:02.899Z,173.8166046,-41.34693527,1.665789745,37.09056091,MLv,,LOCSAT,confirmed,manual,iasp91,24,13,7,0.07838281989,62.31056976,0.7158312159,0.3779814177
2022p702097,earthquake,2022-09-17T18:37:25.112Z,2022-09-17T19:30:40.918Z,176.2494049,-40.27129364,1.494356179,40.88824844,MLv,,LOCSAT,confirmed,manual,iasp91,23,14,7,0.06906152517,67.31713867,0.4792856135,0.2362827824
2022p702072,earthquake,2022-09-17T18:24:21.268Z,2022-09-17T19:42:05.429Z,168.6226349,-44.44815826,1.614971294,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,13,1,0.3927079439,131.9737473,0.6236751785,0
2022p701988,earthquake,2022-09-17T17:39:43.726Z,2022-09-17T17:47:39.135Z,172.2595825,-43.58538055,1.667527564,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,19,14,4,0.166303277,90.02328491,0.5821507809,0.5378405179
2022p701959,earthquake,2022-09-17T17:23:50.325Z,2022-09-17T17:36:26.060Z,178.3622894,-36.38999176,3.256094223,141.74086,M,,LOCSAT,confirmed,manual,iasp91,15,13,19,1.664665461,274.7687531,0.423339553,0
2022p701955,earthquake,2022-09-17T17:21:49.815Z,2022-09-17T17:42:29.472Z,177.9272766,-37.19413376,2.607365583,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,16,18,0.4757647812,206.0214996,1.059113081,0
2022p701947,earthquake,2022-09-17T17:17:30.903Z,2022-09-17T17:48:22.175Z,174.8961639,-39.6654129,1.804658331,69.08110809,M,,LOCSAT,confirmed,manual,iasp91,21,16,9,0.1126735657,130.947403,0.719983243,0
2022p701893,earthquake,2022-09-17T16:48:42.812Z,2022-09-17T16:56:58.236Z,171.3057556,-44.24736404,1.911201773,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,12,3,0.254332453,137.8317719,0.361726341,0.1060683928
2022p701872,earthquake,2022-09-17T16:37:53.678Z,2022-09-17T16:48:07.182Z,175.9977417,-38.76687241,1.40040659,10.56141376,MLv,,LOCSAT,confirmed,manual,iasp91,17,13,7,0.1055773869,52.6053009,0.3489576675,0.2943355029
2022p701840,earthquake,2022-09-17T16:20:24.381Z,2022-09-17T16:30:07.558Z,177.5348358,-37.0832634,2.210797605,74.67618561,M,,LOCSAT,confirmed,manual,iasp91,16,12,6,0.7000078559,284.7902985,0.5265515361,0
2022p701819,earthquake,2022-09-17T16:09:36.303Z,2022-09-17T16:27:15.401Z,175.716217,-39.04150772,1.845033659,4.84316349,MLv,,LOCSAT,confirmed,manual,iasp91,26,23,22,0.06856780499,44.48452759,0.3848466329,0.2239640001
2022p701816,earthquake,2022-09-17T16:07:47.779Z,2022-09-17T17:07:06.289Z,167.3901825,-45.21924591,3.033071187,84.34243774,M,,LOCSAT,confirmed,manual,iasp91,19,12,1,0.2968441546,180.9591484,0.6833713224,0
2022p701804,earthquake,2022-09-17T16:01:21.871Z,2022-09-17T16:50:17.904Z,176.5752258,-40.04429245,1.459526087,36.99498749,MLv,,LOCSAT,confirmed,manual,iasp91,18,14,6,0.1052656323,81.76571655,0.4488516672,0.3021919736
2022p701797,earthquake,2022-09-17T15:57:43.084Z,2022-09-17T16:08:47.840Z,176.3077545,-40.17140579,1.782378058,38.48411179,M,,LOCSAT,confirmed,manual,iasp91,26,17,10,0.1477358639,61.40616989,0.3565423034,0
2022p701780,earthquake,2022-09-17T15:48:47.293Z,2022-09-17T15:56:28.811Z,175.7145996,-39.03565598,1.504394469,6.53856945,MLv,,LOCSAT,confirmed,manual,iasp91,18,13,9,0.0625936836,85.14025879,0.4328027658,0.2081432083
2022p701756,earthquake,2022-09-17T15:35:38.826Z,2022-09-17T15:44:03.978Z,177.5437317,-36.95620346,2.307631115,133.7010956,M,,LOCSAT,confirmed,manual,iasp91,19,13,4,0.8208351135,223.758194,0.4430754947,0
2022p701689,earthquake,2022-09-17T15:01:06.834Z,2022-09-17T16:12:48.203Z,175.8099976,-41.02371216,1.387573595,17.23037529,MLv,,LOCSAT,confirmed,manual,iasp91,19,12,4,0.1027613804,99.66085052,0.3095455523,0.3056467335
2022p701674,earthquake,2022-09-17T14:51:54.000Z,2022-09-17T16:17:14.594Z,176.913147,-38.05028915,1.731429811,74.89651489,MLv,,LOCSAT,confirmed,manual,iasp91,15,10,2,0.1993180662,138.1042404,0.3912118651,0.2786866613
2022p701636,earthquake,2022-09-17T14:31:04.295Z,2022-09-17T14:41:27.418Z,179.383728,-33.45477295,3.760225338,280.7609863,MLv,,LOCSAT,confirmed,manual,iasp91,12,10,2,4.19149971,334.5457306,0.4601216889,0.7088226466
2022p701614,earthquake,2022-09-17T14:20:09.879Z,2022-09-17T14:33:22.294Z,174.1011658,-39.97924423,2.063853589,123.4703903,M,,LOCSAT,confirmed,manual,iasp91,24,20,4,0.7166616917,187.2425079,0.5361588267,0
2022p701553,earthquake,2022-09-17T13:47:56.768Z,2022-09-17T16:41:50.954Z,174.9882965,-40.08707047,1.849451214,24.05181885,M,,LOCSAT,confirmed,manual,iasp91,22,17,6,0.1599600017,131.2250061,0.3744339964,0
2022p701544,earthquake,2022-09-17T13:43:05.784Z,2022-09-17T16:58:01.566Z,176.7727966,-39.81108093,1.553711372,34.60474396,M,,LOCSAT,confirmed,manual,iasp91,21,14,9,0.08173573762,84.4504776,0.3500158886,0
2022p701459,earthquake,2022-09-17T12:57:52.650Z,2022-09-17T13:05:10.450Z,177.8109741,-37.50395966,1.80036817,73.26139832,M,,LOCSAT,confirmed,manual,iasp91,15,11,3,0.2527107894,224.2144089,0.3025406284,0
2022p701334,earthquake,2022-09-17T11:51:13.846Z,2022-09-17T11:58:57.769Z,175.9364929,-38.79067612,1.476741726,7.235550404,M,,LOCSAT,confirmed,manual,iasp91,14,13,7,0.1256136149,78.54873657,0.3190847167,0
2022p701330,earthquake,2022-09-17T11:49:09.748Z,2022-09-17T11:59:07.026Z,177.0980988,-36.89323425,2.810238583,248.6663971,MLv,,LOCSAT,confirmed,manual,iasp91,21,16,7,1.019602299,207.8553619,0.3380267838,0.2406116469
2022p701302,earthquake,2022-09-17T11:34:04.357Z,2022-09-17T12:07:25.523Z,177.1703186,-39.59290314,2.071740955,19.83880424,M,,LOCSAT,confirmed,manual,iasp91,31,21,10,0.09679872543,155.7686501,0.4465731894,0
2022p701293,earthquake,2022-09-17T11:29:11.052Z,2022-09-17T11:42:57.999Z,173.5974884,-40.62904358,2.415673885,115.6928329,MLv,,LOCSAT,preliminary,manual,iasp91,18,11,1,0.3007772565,203.3597488,0.5836008401,0
2022p701229,earthquake,2022-09-17T10:54:56.986Z,2022-09-17T12:19:32.401Z,174.9575958,-40.11166763,1.77949,18.69044876,M,,LOCSAT,confirmed,manual,iasp91,20,16,6,0.2896031141,134.8790967,0.5339682324,0
2022p701224,earthquake,2022-09-17T10:52:42.554Z,2022-09-17T10:59:53.845Z,179.1376495,-36.05001831,2.852837599,130.8383789,MLv,,LOCSAT,confirmed,manual,iasp91,24,24,6,1.650124311,331.8523865,0.4911799428,0.1562358656
2022p701003,earthquake,2022-09-17T08:54:51.916Z,2022-09-17T08:59:02.304Z,179.8875885,-37.58230209,2.85580509,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,16,12,7,1.191796899,308.4014893,0.3272356958,0
2022p700996,earthquake,2022-09-17T08:51:07.661Z,2022-09-17T08:54:29.210Z,173.2468262,-41.77455902,2.337745519,61.38574982,M,,LOCSAT,confirmed,manual,iasp91,20,14,2,0.2558326125,57.4758606,0.453943178,0
2022p700965,earthquake,2022-09-17T08:34:26.489Z,2022-09-17T09:31:56.210Z,174.7540131,-40.19400024,1.630415392,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,13,2,0.3442810178,101.3618927,0.2425037592,0
2022p700947,earthquake,2022-09-17T08:24:47.538Z,2022-09-17T08:32:00.600Z,174.6676483,-40.55210114,2.240677508,56.50085831,M,,LOCSAT,confirmed,manual,iasp91,19,15,11,0.3591885865,74.34069824,0.3345801618,0
2022p700876,earthquake,2022-09-17T07:46:52.929Z,2022-09-17T09:39:18.413Z,175.9897919,-38.86066055,1.246454298,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,7,6,2,0.1699955463,132.7730103,0.2048886798,0.2470057388
2022p700869,earthquake,2022-09-17T07:43:08.788Z,2022-09-17T09:33:21.126Z,173.6122894,-42.20893478,1.853160808,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,12,3,0.1641054749,127.7094498,0.4247593887,0
2022p700868,earthquake,2022-09-17T07:42:56.071Z,2022-09-17T09:31:17.705Z,176.2109375,-40.01681137,1.458095959,21.99127388,MLv,,LOCSAT,confirmed,manual,iasp91,20,13,6,0.1036697328,90.0769043,0.4732400463,0.2798986297
2022p700695,earthquake,2022-09-17T06:10:33.970Z,2022-09-17T06:56:11.512Z,175.9533997,-38.35582352,2.592199891,136.9037628,M,,LOCSAT,confirmed,manual,iasp91,25,22,15,0.7726525664,190.3894043,0.3409417848,0
2022p700634,earthquake,2022-09-17T05:38:22.780Z,2022-09-17T06:14:00.572Z,172.7170563,-41.17587662,1.908202235,170.164032,M,,LOCSAT,confirmed,manual,iasp91,17,13,3,0.2250435501,107.7868958,0.3557258789,0
2022p700596,earthquake,2022-09-17T05:17:30.219Z,2022-09-17T05:42:34.753Z,176.9047089,-37.03252792,2.646561896,216.0815735,MLv,,LOCSAT,confirmed,manual,iasp91,19,13,6,0.991483748,189.2783127,0.5169997441,0.2794862573
2022p700576,earthquake,2022-09-17T05:07:19.692Z,2022-09-17T06:40:10.982Z,176.0145874,-38.81943893,1.706449888,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,16,9,0.1596332639,118.8092575,0.2141535225,0
2022p700557,earthquake,2022-09-17T04:56:59.189Z,2022-09-17T09:29:55.151Z,175.5254059,-40.56848526,1.201436896,6.059227943,M,,LOCSAT,confirmed,manual,iasp91,13,10,2,0.1004606262,168.5889091,0.3196542721,0
2022p700518,earthquake,2022-09-17T04:35:53.733Z,2022-09-17T07:00:05.010Z,174.455307,-39.47462845,2.364196905,128.0798492,M,,LOCSAT,confirmed,manual,iasp91,26,22,15,0.4959425628,195.4915123,0.4417729116,0
2022p700492,earthquake,2022-09-17T04:22:47.540Z,2022-09-17T04:33:36.131Z,174.7123566,-40.98948669,1.753808471,27.24206543,MLv,,LOCSAT,confirmed,manual,iasp91,22,15,6,0.1623857468,122.279377,0.3993998048,0.2692710459
2022p700462,earthquake,2022-09-17T04:06:13.752Z,2022-09-17T04:17:00.917Z,177.3187714,-39.51804352,2.612170917,22.38033104,MLv,,LOCSAT,confirmed,manual,iasp91,29,22,25,0.2330183238,162.835331,0.455693094,0.1801180613
2022p700366,earthquake,2022-09-17T03:15:07.137Z,2022-09-17T03:25:04.081Z,177.465683,-39.11872101,1.963076229,20.31072235,MLv,,LOCSAT,confirmed,manual,iasp91,18,13,5,0.1847703457,152.5406265,0.1958730419,0.07147901988
2022p700318,earthquake,2022-09-17T02:49:41.454Z,2022-09-17T04:15:59.927Z,175.1918335,-41.29071045,1.351385917,15.57308578,M,,LOCSAT,confirmed,manual,iasp91,20,15,5,0.1323280334,73.59889221,0.2098469427,0
2022p700313,earthquake,2022-09-17T02:46:56.842Z,2022-09-17T03:53:12.402Z,175.1996155,-41.29317474,2.388161159,16.97166443,M,,LOCSAT,confirmed,manual,iasp91,21,17,15,0.1281680912,73.50128174,0.1870906,0
2022p700268,earthquake,2022-09-17T02:23:02.241Z,2022-09-17T03:08:48.349Z,166.9253235,-46.22127533,1.790900505,85.14885712,MLv,,LOCSAT,confirmed,manual,iasp91,16,10,2,0.1786195338,157.7233276,0.5285576749,0.8657608661
2022p700258,earthquake,2022-09-17T02:17:57.641Z,2022-09-17T02:59:27.560Z,176.8113403,-39.51747131,2.234433447,31.11938667,M,,LOCSAT,confirmed,manual,iasp91,24,17,19,0.05284498259,45.27668762,0.2688863298,0
2022p699940,earthquake,2022-09-16T23:28:13.440Z,2022-09-16T23:42:09.384Z,176.4900208,-40.26863098,1.413502105,19.15578461,MLv,,LOCSAT,confirmed,manual,iasp91,21,13,6,0.1110927835,94.54254913,0.2300270239,0.2557765702
2022p699879,earthquake,2022-09-16T22:55:50.945Z,2022-09-16T22:59:08.907Z,177.9973602,-38.53033066,1.674699062,25.28954124,MLv,,LOCSAT,confirmed,manual,iasp91,18,13,6,0.1480818689,118.4996109,0.2402259275,0.3297829799
2022p699741,earthquake,2022-09-16T21:41:55.317Z,2022-09-16T21:51:42.017Z,176.3967438,-37.94141769,3.474072781,151.5385284,MLv,,LOCSAT,confirmed,manual,iasp91,52,40,81,0.1438931972,87.20641327,0.4693570359,0.4621941335
2022p699621,earthquake,2022-09-16T20:38:29.526Z,2022-09-16T20:46:00.501Z,177.8373718,-38.37863922,1.883953267,19.41654015,MLv,,LOCSAT,confirmed,manual,iasp91,23,15,7,0.06109637022,62.66926575,0.3737855845,0.1092781937
2022p699620,earthquake,2022-09-16T20:37:35.836Z,2022-09-16T20:51:51.411Z,177.117218,-36.78782654,2.811110694,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,14,6,0.8562481999,198.1141815,1.049853624,0.199570391
2022p699570,earthquake,2022-09-16T20:11:12.609Z,2022-09-16T20:14:51.958Z,176.9249573,-39.86806107,2.056737663,23.91605568,MLv,,LOCSAT,confirmed,manual,iasp91,25,16,12,0.08262231201,167.1701603,0.2798743811,0.1883515667
2022p699378,earthquake,2022-09-16T18:28:37.821Z,2022-09-16T19:24:05.973Z,171.9585571,-43.14932632,1.63262052,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,26,17,2,0.185869962,73.91457748,0.3916571443,0.1760767392
2022p699306,earthquake,2022-09-16T17:50:37.229Z,2022-09-16T18:06:23.629Z,174.9633179,-39.15827942,2.503526712,22.54387856,MLv,,LOCSAT,confirmed,manual,iasp91,29,19,19,0.1628804356,70.58859253,0.3317520801,0.1404869336
2022p699292,earthquake,2022-09-16T17:43:29.518Z,2022-09-16T17:53:42.652Z,175.8318787,-40.63237381,1.319253877,20.28598785,MLv,,LOCSAT,confirmed,manual,iasp91,27,17,6,0.09518322349,86.91262817,0.4498297208,0.1389961774
2022p699284,earthquake,2022-09-16T17:38:44.814Z,2022-09-16T18:03:53.052Z,177.0213013,-37.41438293,2.21649509,111.3268433,MLv,,LOCSAT,confirmed,manual,iasp91,16,12,1,0.6943528056,268.0871887,0.441247749,0
2022p699255,earthquake,2022-09-16T17:23:35.200Z,2022-09-16T17:28:29.455Z,171.4587708,-42.97518539,1.727636508,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,12,1,0.08417712897,98.37844849,0.4742370509,0
2022p699247,earthquake,2022-09-16T17:19:13.940Z,2022-09-16T17:32:22.872Z,171.4450989,-42.96933365,2.681856002,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,23,19,7,0.09230542183,54.50689697,0.4820724786,0.1264632978
2022p699245,earthquake,2022-09-16T17:17:48.563Z,2022-09-16T17:23:37.154Z,175.5555267,-39.96792603,1.766839142,15.59503078,MLv,,LOCSAT,confirmed,manual,iasp91,29,21,8,0.2415831089,77.9458313,0.513378979,0.1239616798
2022p699192,earthquake,2022-09-16T16:50:02.052Z,2022-09-16T16:52:33.943Z,177.3426056,-39.15246964,1.939698702,39.31587982,MLv,,LOCSAT,confirmed,manual,iasp91,25,18,7,0.2911457121,112.6015244,0.2546097813,0.1498847109
2022p699173,earthquake,2022-09-16T16:39:48.238Z,2022-09-16T16:46:51.452Z,178.0337677,-38.89311981,1.809428533,21.99996758,MLv,,LOCSAT,confirmed,manual,iasp91,22,17,5,0.1210404932,182.3769703,0.2782278534,0.3029307743
2022p699121,earthquake,2022-09-16T16:12:02.778Z,2022-09-16T16:18:22.071Z,174.935318,-40.12380219,2.133396485,26.39463234,MLv,,LOCSAT,confirmed,manual,iasp91,33,22,13,0.2087129056,70.7759552,0.4822628406,0.2338739211
2022p698999,earthquake,2022-09-16T15:06:54.898Z,2022-09-16T15:08:57.545Z,176.6980133,-39.9539032,1.900823523,30.24831772,MLv,,LOCSAT,confirmed,manual,iasp91,26,18,11,0.1475676894,80.53567123,0.2854200017,0.1638813974
2022p698996,earthquake,2022-09-16T15:05:12.928Z,2022-09-16T15:17:50.130Z,175.9503021,-38.75815582,1.974148108,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,34,29,22,0.09223531932,37.44740295,0.4364860833,0.172466669
2022p698955,earthquake,2022-09-16T14:43:17.946Z,2022-09-16T14:49:18.444Z,175.6426086,-38.81777954,1.729998286,114.5976868,MLv,,LOCSAT,confirmed,manual,iasp91,32,23,7,0.3452869356,108.3520813,0.6404862379,0.1918426736
2022p698921,earthquake,2022-09-16T14:25:41.002Z,2022-09-16T14:34:11.965Z,-179.8643951,-37.3207283,2.722693562,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,14,10,4,1.454914212,332.091156,0.3241473329,0.2325630039
