ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12812663,JF378535,08/31/2022 03:15:00 PM,044XX W 31ST ST,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,SIDEWALK,false,false,1031,010,22,30,03,1147385,1883545,2022,09/26/2022 04:46:54 PM,41.836405971,-87.734691223,"(41.836405971, -87.734691223)"
26951,JF341823,08/02/2022 06:22:00 PM,063XX S DR MARTIN LUTHER KING JR DR,0110,HOMICIDE,FIRST DEGREE MURDER,CHA LOBBY,false,false,0312,003,20,69,01A,1180014,1862897,2022,08/31/2022 04:51:30 PM,41.779059693,-87.615596501,"(41.779059693, -87.615596501)"
26953,JF343160,08/03/2022 07:03:00 PM,039XX W GLADYS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,1132,011,28,26,01A,1150234,1898066,2022,09/18/2022 04:45:51 PM,41.876198401,-87.723858849,"(41.876198401, -87.723858849)"
26956,JF344442,08/05/2022 09:14:00 AM,026XX E 75TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0421,004,7,43,01A,1195015,1855739,2022,08/31/2022 04:51:30 PM,41.759060904,-87.560838117,"(41.759060904, -87.560838117)"
26962,JF347239,08/07/2022 12:55:00 AM,028XX W WILCOX ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1124,011,27,27,01A,1157396,1899227,2022,08/31/2022 04:51:30 PM,41.879241731,-87.697530746,"(41.879241731, -87.697530746)"
26977,JF353379,08/11/2022 08:53:00 PM,027XX W ST GEORGES CT,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,1431,014,1,22,01A,1157582,1914673,2022,08/31/2022 04:51:30 PM,41.921623105,-87.696426725,"(41.921623105, -87.696426725)"
26971,JF354183,08/12/2022 03:23:00 PM,014XX W 72ND ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0734,007,17,67,01A,1167555,1856989,2022,08/31/2022 04:51:30 PM,41.76312366,-87.661441472,"(41.76312366, -87.661441472)"
26970,JF354711,08/12/2022 11:17:00 PM,005XX W 95TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,2223,022,21,73,01A,1174212,1841887,2022,08/31/2022 04:51:30 PM,41.721536545,-87.637489981,"(41.721536545, -87.637489981)"
26975,JF354911,08/13/2022 05:45:00 AM,039XX W FILLMORE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1132,011,24,29,01A,1150263,1895081,2022,08/31/2022 04:51:30 PM,41.868006655,-87.723830193,"(41.868006655, -87.723830193)"
26990,JF362952,08/19/2022 07:07:00 PM,033XX W FLOURNOY ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1134,011,24,27,01A,1154303,1896837,2022,08/31/2022 04:51:30 PM,41.872745636,-87.708951612,"(41.872745636, -87.708951612)"
26983,JF358800,08/16/2022 12:43:00 PM,031XX W HURON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1221,012,27,23,01A,1155385,1904496,2022,08/31/2022 04:51:30 PM,41.893741023,-87.704773116,"(41.893741023, -87.704773116)"
26979,JF356616,08/14/2022 04:46:00 PM,131XX S ST LAWRENCE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0533,005,9,54,01A,1182582,1818224,2022,08/31/2022 04:51:30 PM,41.656412299,-87.607562668,"(41.656412299, -87.607562668)"
26976,JF355893,08/14/2022 01:05:00 AM,018XX W 78TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0611,006,17,71,01A,1165622,1852961,2022,09/18/2022 04:45:51 PM,41.75211148,-87.668640357,"(41.75211148, -87.668640357)"
26986,JF360513,08/17/2022 06:45:00 PM,048XX S WOLCOTT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0931,009,15,61,01A,1164500,1872678,2022,08/31/2022 04:51:30 PM,41.80624123,-87.672196487,"(41.80624123, -87.672196487)"
26960,JF346203,08/06/2022 05:44:00 AM,040XX W MONROE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1115,011,28,26,01A,1149437,1899354,2022,08/31/2022 04:51:30 PM,41.879748311,-87.726751761,"(41.879748311, -87.726751761)"
26968,JF349972,08/09/2022 08:45:00 AM,073XX N ROGERS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,false,false,2424,024,49,1,01A,1162211,1948559,2022,08/31/2022 04:51:30 PM,42.014512189,-87.678466914,"(42.014512189, -87.678466914)"
26991,JF364380,08/21/2022 02:05:00 AM,006XX W 89TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,2223,022,21,71,01A,1173394,1845901,2022,08/31/2022 04:51:30 PM,41.73256962,-87.640367798,"(41.73256962, -87.640367798)"
26978,JF356024,08/14/2022 03:57:00 AM,011XX N RIDGEWAY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1112,011,27,23,01A,1151172,1907274,2022,08/31/2022 04:51:30 PM,41.901447784,-87.720173223,"(41.901447784, -87.720173223)"
27003,JF369140,08/24/2022 08:37:00 PM,027XX S HOMAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,true,1032,010,22,30,01A,1154145,1885502,2022,08/31/2022 04:56:35 PM,41.841644257,-87.709833909,"(41.841644257, -87.709833909)"
26987,JF360669,08/17/2022 10:03:00 PM,024XX S TRUMBULL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1024,010,22,30,01A,1153754,1887585,2022,08/31/2022 04:51:30 PM,41.847368041,-87.711213391,"(41.847368041, -87.711213391)"
12783549,JF343277,08/03/2022 02:40:00 PM,050XX S KEDZIE AVE,0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,false,false,0821,008,14,63,03,1155897,1870988,2022,09/26/2022 04:46:54 PM,41.801780906,-87.703794846,"(41.801780906, -87.703794846)"
12783560,JF344158,08/04/2022 02:23:00 PM,011XX N LONG AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,false,false,1524,015,37,25,03,1140090,1907291,2022,09/26/2022 04:46:54 PM,41.901704573,-87.760878652,"(41.901704573, -87.760878652)"
12783637,JF344409,08/04/2022 06:00:00 PM,043XX N SHERIDAN RD,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,false,false,1915,019,46,3,03,1168812,1929247,2022,09/26/2022 04:46:54 PM,41.96137851,-87.65474101,"(41.96137851, -87.65474101)"
12783631,JF344351,08/04/2022 05:25:00 PM,020XX W 54TH ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,0932,009,16,61,03,1163692,1868847,2022,09/26/2022 04:46:54 PM,41.795745515,-87.675267523,"(41.795745515, -87.675267523)"
12783699,JF344402,08/04/2022 06:07:00 PM,062XX W MONTROSE AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1622,016,38,15,05,1133740,1928588,2022,09/26/2022 04:46:54 PM,41.960259897,-87.78370188,"(41.960259897, -87.78370188)"
12783738,JF344529,08/03/2022 03:55:00 AM,015XX S KEELER AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,false,false,1012,010,24,29,03,1148635,1892193,2022,09/26/2022 04:46:54 PM,41.860113198,-87.729881467,"(41.860113198, -87.729881467)"
12783834,JF344605,08/04/2022 10:05:00 PM,037XX W ADDISON ST,031A,ROBBERY,ARMED - HANDGUN,GAS STATION,false,false,1732,017,30,16,03,1150919,1923677,2022,09/26/2022 04:46:54 PM,41.946464013,-87.720672053,"(41.946464013, -87.720672053)"
12783832,JF344626,08/04/2022 10:20:00 PM,093XX S COTTAGE GROVE AVE,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,SIDEWALK,false,false,0633,006,8,44,03,1183206,1842853,2022,09/26/2022 04:46:54 PM,41.72398315,-87.60451692,"(41.72398315, -87.60451692)"
12783844,JF344586,08/04/2022 09:45:00 PM,0000X E 68TH ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,0322,003,6,69,03,1177612,1859934,2022,09/26/2022 04:46:54 PM,41.770983585,-87.624491924,"(41.770983585, -87.624491924)"
12783848,JF344551,08/04/2022 08:07:00 PM,054XX S SEELEY AVE,0650,BURGLARY,HOME INVASION,RESIDENCE,false,false,0932,009,16,61,05,1163616,1868603,2022,09/26/2022 04:46:54 PM,41.795077544,-87.675553066,"(41.795077544, -87.675553066)"
12783845,JF344636,08/04/2022 11:30:00 PM,016XX W 95TH ST,0325,ROBBERY,VEHICULAR HIJACKING,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,2213,022,21,73,03,1166985,1841705,2022,09/26/2022 04:46:54 PM,41.721194359,-87.663966368,"(41.721194359, -87.663966368)"
12783912,JF344679,08/05/2022 01:00:00 AM,075XX S HALSTED ST,0330,ROBBERY,AGGRAVATED,RESIDENCE,false,false,0621,006,17,71,03,1172272,1854914,2022,09/26/2022 04:46:54 PM,41.757327195,-87.644213747,"(41.757327195, -87.644213747)"
12783907,JF344639,08/04/2022 11:28:00 PM,078XX S WESTERN AVE,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,false,false,0835,008,18,70,05,1161740,1852591,2022,09/26/2022 04:46:54 PM,41.751177563,-87.682876487,"(41.751177563, -87.682876487)"
12783928,JF344695,08/04/2022 10:00:00 PM,064XX N RICHMOND ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,true,2412,024,50,2,05,1155499,1942521,2022,09/26/2022 04:46:54 PM,41.998081928,-87.703327961,"(41.998081928, -87.703327961)"
12783940,JF344749,08/05/2022 03:20:00 AM,013XX N CLEVELAND AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1821,018,2,8,05,1172748,1909167,2022,09/26/2022 04:46:54 PM,41.90619176,-87.640866527,"(41.90619176, -87.640866527)"
12783975,JF344686,08/04/2022 11:01:00 PM,066XX S STATE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,GAS STATION,false,false,0322,003,20,69,03,1177427,1860815,2022,09/26/2022 04:46:54 PM,41.773405326,-87.625143469,"(41.773405326, -87.625143469)"
12783978,JF344765,08/05/2022 04:40:00 AM,062XX S TROY ST,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,false,false,0823,008,16,66,03,1156458,1863109,2022,09/26/2022 04:46:54 PM,41.780148521,-87.701949633,"(41.780148521, -87.701949633)"
12784175,JF344893,08/04/2022 05:00:00 PM,070XX S SOUTH CHICAGO AVE,0610,BURGLARY,FORCIBLE ENTRY,WAREHOUSE,false,false,0322,003,6,69,05,1182159,1858703,2022,09/26/2022 04:46:54 PM,41.767501554,-87.607862513,"(41.767501554, -87.607862513)"
12784220,JF344962,08/05/2022 02:00:00 AM,035XX N NOTTINGHAM AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,false,false,1632,016,38,17,05,1128121,1922662,2022,09/26/2022 04:46:54 PM,41.944095319,-87.804494889,"(41.944095319, -87.804494889)"
12784294,JF343349,08/03/2022 12:30:00 PM,022XX W SHAKESPEARE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,1432,014,32,22,05,1160881,1914350,2022,09/26/2022 04:46:54 PM,41.920668895,-87.68431431,"(41.920668895, -87.68431431)"
12784289,JF345196,08/05/2022 11:00:00 AM,030XX W AUGUSTA BLVD,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,false,false,1211,012,26,23,05,1155680,1906496,2022,09/26/2022 04:46:54 PM,41.899223272,-87.703635765,"(41.899223272, -87.703635765)"
12784406,JF345371,08/04/2022 12:00:00 AM,052XX N PAULINA ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,false,false,2012,020,40,77,05,1164051,1934754,2022,09/26/2022 04:46:54 PM,41.976592067,-87.672088713,"(41.976592067, -87.672088713)"
12784586,JF345485,08/04/2022 10:00:00 PM,064XX N RICHMOND ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,true,2412,024,50,2,05,1155499,1942521,2022,09/26/2022 04:46:54 PM,41.998081928,-87.703327961,"(41.998081928, -87.703327961)"
12784615,JF345535,08/05/2022 04:00:00 AM,067XX S JEFFERY BLVD,0610,BURGLARY,FORCIBLE ENTRY,ABANDONED BUILDING,false,false,0332,003,5,43,05,1190705,1860658,2022,09/26/2022 04:46:54 PM,41.772664157,-87.576475143,"(41.772664157, -87.576475143)"
12784610,JF341558,08/02/2022 02:45:00 PM,075XX S CHAPPEL AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,false,false,0414,004,8,43,03,1191177,1855477,2022,09/26/2022 04:46:54 PM,41.758435668,-87.574912409,"(41.758435668, -87.574912409)"
12784646,JF345611,08/05/2022 03:00:00 AM,066XX S KIMBARK AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0321,003,5,42,05,1185779,1861190,2022,09/26/2022 04:46:54 PM,41.774241552,-87.594515501,"(41.774241552, -87.594515501)"
12784693,JF345619,08/05/2022 05:34:00 PM,029XX E 92ND ST,031A,ROBBERY,ARMED - HANDGUN,DRUG STORE,false,false,0423,004,7,46,03,1197295,1844523,2022,09/26/2022 04:46:54 PM,41.728226861,-87.552855036,"(41.728226861, -87.552855036)"
12784708,JF345508,08/04/2022 12:00:00 AM,086XX S MUSKEGON AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0423,004,10,46,05,1196648,1848333,2022,09/26/2022 04:46:54 PM,41.738697889,-87.555098877,"(41.738697889, -87.555098877)"
12784887,JF345458,08/05/2022 01:30:00 PM,103XX S AVENUE J,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,0432,004,10,52,03,1202491,1837017,2022,09/26/2022 04:46:54 PM,41.707498966,-87.534076802,"(41.707498966, -87.534076802)"
12784961,JF345821,08/05/2022 01:00:00 PM,035XX W 59TH ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0822,008,23,66,05,1153779,1865264,2022,09/26/2022 04:46:54 PM,41.786115724,-87.711714245,"(41.786115724, -87.711714245)"
12784977,JF345747,08/05/2022 06:05:00 PM,002XX W 103RD ST,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,0511,005,9,49,03,1176682,1836646,2022,09/26/2022 04:46:54 PM,41.707099379,-87.628599988,"(41.707099379, -87.628599988)"
12785031,JF346043,08/06/2022 12:28:00 AM,026XX N CICERO AVE,0610,BURGLARY,FORCIBLE ENTRY,AUTO / BOAT / RV DEALERSHIP,false,false,2521,025,31,19,05,1143931,1917476,2022,09/26/2022 04:46:54 PM,41.929582078,-87.74651405,"(41.929582078, -87.74651405)"
12785058,JF344681,08/05/2022 01:30:00 AM,009XX W MONROE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,SMALL RETAIL STORE,false,false,1232,012,25,28,03,1169974,1899753,2022,09/26/2022 04:46:54 PM,41.880420133,-87.651331272,"(41.880420133, -87.651331272)"
12785110,JF346118,08/06/2022 02:01:00 AM,025XX W GUNNISON ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,SIDEWALK,false,false,2031,020,40,4,03,1158523,1932193,2022,09/26/2022 04:46:54 PM,41.96967985,-87.692487949,"(41.96967985, -87.692487949)"
12785160,JF346192,08/06/2022 04:07:00 AM,087XX S JEFFERY BLVD,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,GAS STATION,false,false,0412,004,8,48,03,1191030,1847518,2022,09/26/2022 04:46:54 PM,41.736599019,-87.575707974,"(41.736599019, -87.575707974)"
12785147,JF346189,08/06/2022 04:10:00 AM,041XX W POTOMAC AVE,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,false,false,2534,025,37,23,03,1148638,1908342,2022,09/26/2022 04:46:54 PM,41.904427807,-87.729453331,"(41.904427807, -87.729453331)"
12785203,JF346256,08/06/2022 03:00:00 AM,0000X E CHICAGO AVE,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,false,false,1833,018,42,8,03,1176365,1905732,2022,09/26/2022 04:46:54 PM,41.896685066,-87.627683859,"(41.896685066, -87.627683859)"
12785235,JF346201,08/06/2022 05:02:00 AM,031XX W MADISON ST,0320,ROBBERY,STRONG ARM - NO WEAPON,APARTMENT,false,true,1124,011,28,27,03,1155440,1899850,2022,09/26/2022 04:46:54 PM,41.880990844,-87.704696121,"(41.880990844, -87.704696121)"
12785333,JF346289,08/05/2022 08:00:00 AM,022XX N FREMONT ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1812,018,43,7,05,1169916,1915166,2022,09/26/2022 04:46:54 PM,41.922715605,-87.65109416,"(41.922715605, -87.65109416)"
12785357,JF346286,08/06/2022 03:44:00 AM,023XX W 111TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,false,false,2212,022,19,75,05,1162672,1830954,2022,09/26/2022 04:46:54 PM,41.691782723,-87.680062821,"(41.691782723, -87.680062821)"
12785353,JF346307,08/06/2022 03:00:00 AM,080XX S HARVARD AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,false,false,0623,006,17,44,05,1175354,1851550,2022,09/26/2022 04:46:54 PM,41.748027668,-87.633019065,"(41.748027668, -87.633019065)"
12785444,JF346467,08/06/2022 10:15:00 AM,065XX S RACINE AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,PARK PROPERTY,true,false,0724,007,17,67,03,1169443,1861521,2022,09/26/2022 04:46:54 PM,41.775519362,-87.654390481,"(41.775519362, -87.654390481)"
12785491,JF346430,08/06/2022 03:18:00 AM,105XX S WESTERN AVE,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,false,false,2212,022,19,72,05,1162254,1834748,2022,09/26/2022 04:46:54 PM,41.702202815,-87.681488058,"(41.702202815, -87.681488058)"
12785505,JF346441,08/06/2022 09:00:00 AM,002XX W 47TH ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,false,false,0925,009,3,37,03,1175476,1873816,2022,09/26/2022 04:46:54 PM,41.809125265,-87.631906508,"(41.809125265, -87.631906508)"
12785548,JF346328,08/04/2022 12:00:00 AM,073XX S UNION AVE,0325,ROBBERY,VEHICULAR HIJACKING,SIDEWALK,false,false,0732,007,6,68,03,1172902,1856257,2022,09/26/2022 04:46:54 PM,41.760998681,-87.641865334,"(41.760998681, -87.641865334)"
12785581,JF346529,08/06/2022 11:40:00 AM,077XX S THROOP ST,0325,ROBBERY,VEHICULAR HIJACKING,STREET,false,false,0612,006,17,71,03,1169226,1853465,2022,09/26/2022 04:46:54 PM,41.753417359,-87.65541873,"(41.753417359, -87.65541873)"
12785666,JF346800,08/05/2022 11:33:00 PM,054XX N SHERIDAN RD,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,2023,020,48,77,05,1168656,1936319,2022,09/26/2022 04:46:54 PM,41.980787676,-87.655108713,"(41.980787676, -87.655108713)"
12785679,JF346847,08/06/2022 09:00:00 AM,010XX N RICHMOND ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,false,false,1211,012,26,24,05,1156537,1906717,2022,09/26/2022 04:46:54 PM,41.899812411,-87.700482025,"(41.899812411, -87.700482025)"
12785762,JF346915,08/06/2022 03:30:00 PM,016XX W MORSE AVE,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,STREET,false,false,2431,024,49,1,03,1164302,1946138,2022,09/26/2022 04:46:54 PM,42.007824765,-87.670841822,"(42.007824765, -87.670841822)"
12785785,JF345846,08/05/2022 08:35:00 PM,010XX W FRY ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,1213,012,27,24,03,1169654,1905934,2022,09/26/2022 04:46:54 PM,41.897388185,-87.652326149,"(41.897388185, -87.652326149)"
12785960,JF346939,08/06/2022 01:00:00 PM,025XX E 77TH ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0421,004,7,43,05,1194328,1854398,2022,09/26/2022 04:46:54 PM,41.755397998,-87.563399873,"(41.755397998, -87.563399873)"
12786055,JF347269,08/06/2022 06:30:00 PM,028XX S UNION AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0914,009,11,60,05,1172089,1886082,2022,09/26/2022 04:46:54 PM,41.842859493,-87.643968332,"(41.842859493, -87.643968332)"
12786077,JF347253,08/06/2022 11:00:00 PM,017XX E 79TH ST,0650,BURGLARY,HOME INVASION,APARTMENT,false,false,0414,004,8,43,05,1189291,1852945,2022,09/26/2022 04:46:54 PM,41.751533053,-87.581905378,"(41.751533053, -87.581905378)"
12786099,JF347213,08/06/2022 11:59:00 PM,008XX N CENTRAL PARK AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1112,011,27,23,05,1152232,1905314,2022,09/26/2022 04:46:54 PM,41.896048497,-87.716331483,"(41.896048497, -87.716331483)"
12786187,JF347363,08/07/2022 03:00:00 AM,018XX S AVERS AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,1014,010,24,29,03,1151031,1890696,2022,09/26/2022 04:46:54 PM,41.855958702,-87.721125493,"(41.855958702, -87.721125493)"
12786202,JF347285,08/07/2022 12:51:00 AM,028XX W COLUMBUS AVE,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,STREET,false,false,0835,008,18,70,03,1158639,1853652,2022,09/26/2022 04:46:54 PM,41.754152883,-87.694211313,"(41.754152883, -87.694211313)"
12786331,JF347606,08/02/2022 12:00:00 AM,021XX W CORTEZ ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1212,012,2,24,05,1161925,1906970,2022,09/26/2022 04:46:54 PM,41.900395892,-87.680684765,"(41.900395892, -87.680684765)"
12786348,JF347617,08/06/2022 02:30:00 AM,032XX N BROADWAY,0320,ROBBERY,STRONG ARM - NO WEAPON,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,1925,019,44,6,03,1171684,1921595,2022,09/26/2022 04:46:54 PM,41.940318272,-87.644408194,"(41.940318272, -87.644408194)"
12786362,JF347485,08/07/2022 04:05:00 AM,011XX S KEDZIE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,false,false,1134,011,24,29,05,1155199,1895012,2022,09/26/2022 04:46:54 PM,41.867719711,-87.70571096,"(41.867719711, -87.70571096)"
12786449,JF347501,08/07/2022 01:17:00 AM,005XX S PULASKI RD,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA PLATFORM,false,false,1132,011,24,26,03,1149812,1897228,2022,09/26/2022 04:46:54 PM,41.873907046,-87.725430093,"(41.873907046, -87.725430093)"
12786495,JF347563,08/07/2022 09:49:00 AM,048XX W DIVISION ST,0325,ROBBERY,VEHICULAR HIJACKING,STREET,false,false,1531,015,37,25,03,1143931,1907550,2022,09/26/2022 04:46:54 PM,41.902344097,-87.74676352,"(41.902344097, -87.74676352)"
12786520,JF345607,08/05/2022 05:23:00 PM,010XX S CLAREMONT AVE,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,STREET,false,false,1225,012,28,28,03,1160875,1895370,2022,09/26/2022 04:46:54 PM,41.868586332,-87.684863425,"(41.868586332, -87.684863425)"
12786521,JF345608,08/05/2022 05:25:00 PM,010XX S CLAREMONT AVE,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,STREET,false,false,1225,012,28,28,03,1160875,1895370,2022,09/26/2022 04:46:54 PM,41.868586332,-87.684863425,"(41.868586332, -87.684863425)"
12786593,JF347870,08/07/2022 12:01:00 PM,053XX S ALBANY AVE,0325,ROBBERY,VEHICULAR HIJACKING,STREET,false,false,0923,009,14,63,03,1156623,1868907,2022,09/26/2022 04:46:54 PM,41.796055734,-87.701188424,"(41.796055734, -87.701188424)"
